study_hours,sleep_hours,attendance_percentage,assignments_completed,screen_time,coding_interest,logical_reasoning,creativity_score,communication_skill,stress_level,performance_score,career,Data Science,Backend Development,Cybersecurity,UI/UX Design,Web Development,Cloud Computing,Mobile Development,Game Development,DevOps Engineering,Software Testing,recommended_career
7,4,50,6,9,2,6,3,10,10,43.36877757273674,Software Testing,37.34179577176124,19.00826446280991,27.90489155518035,51.9774011299435,39.08045977011494,22.69093808226902,42.285714285714285,34.06593406593409,11.714285714285708,56.87500000000001,Software Testing
4,7,68,9,2,4,6,1,5,1,61.6699412743767,DevOps Engineering,53.70345374640083,44.21487603305786,56.39618948074007,15.254237288135592,15.517241379310349,52.69160880367533,16.0,16.483516483516485,49.42857142857144,62.500000000000014,Software Testing
8,6,75,3,2,10,9,3,9,9,64.965940998518,Data Science,75.5233357040923,71.07438016528927,61.6137993701371,45.76271186440678,53.448275862068975,60.210917002027664,52.57142857142857,48.35164835164837,49.99999999999998,70.625,Data Science
5,8,74,3,5,5,4,7,6,8,43.92520253498427,DevOps Engineering,38.03609368702848,39.256198347107436,42.09132234904671,55.367231638418076,48.85057471264368,42.608185899126376,47.42857142857143,50.54945054945057,39.428571428571416,34.37500000000001,UI/UX Design
7,7,59,2,10,10,8,7,6,4,58.84303974393562,Data Science,68.14442842862636,53.71900826446281,49.58681744901611,69.4915254237288,80.45977011494253,44.00175201379574,81.71428571428572,82.41758241758244,27.999999999999993,60.62500000000001,Game Development
3,8,64,4,10,4,4,5,3,8,25.3672224173405,DevOps Engineering,20.693714294180115,28.92561983471074,24.1303285643651,42.372881355932215,44.252873563218394,23.266410615181847,46.85714285714286,49.45054945054947,26.571428571428562,26.250000000000007,Game Development
7,5,71,2,10,2,2,1,5,10,32.094869601042774,DevOps Engineering,20.221084105640486,19.834710743801654,28.990484025813075,26.553672316384187,25.862068965517242,30.314045879563555,30.85714285714286,23.076923076923084,27.999999999999993,13.750000000000004,Mobile Development
8,9,97,7,8,7,8,8,10,7,65.85746279637604,UI/UX Design,68.6758976764374,81.40495867768595,76.01098289080255,81.35593220338984,74.13793103448275,79.6008431103032,73.71428571428571,72.52747252747254,86.85714285714286,78.12500000000001,DevOps Engineering
5,7,70,6,11,10,7,10,7,7,53.659034367029626,UI/UX Design,60.97794757797447,64.87603305785123,50.10002161448405,89.83050847457628,94.82758620689657,48.21846361212083,94.85714285714286,96.70329670329669,44.85714285714285,65.625,Game Development
4,5,71,2,9,10,4,8,3,1,35.91163892262701,Game Development,40.36647550905458,52.066115702479344,39.567068504796865,62.71186440677966,76.43678160919542,38.42169390353142,76.57142857142857,80.21978021978023,39.71428571428571,37.5,Game Development
8,7,85,8,2,2,9,10,2,6,84.45150282049673,Cloud Computing,76.16233755659478,59.09090909090908,82.04497032735641,48.58757062146893,33.33333333333334,81.38415148155428,28.57142857142857,52.74725274725276,74.0,55.000000000000014,Cybersecurity
8,7,83,4,5,1,9,10,5,4,74.82554938174934,Cybersecurity,66.83024375631386,49.173553719008254,75.99091156084864,62.71186440677966,41.37931034482759,74.97149820273737,38.285714285714285,56.04395604395606,67.14285714285712,55.625,Cybersecurity
3,5,79,8,7,5,8,10,3,10,42.1302334705943,DevOps Engineering,43.91844468330166,61.15702479338842,47.88064998150585,63.84180790960453,58.62068965517242,49.066416985933316,56.57142857142857,72.52747252747254,60.0,52.500000000000014,Game Development
6,6,74,6,6,1,1,2,5,10,44.732738393708374,DevOps Engineering,25.66086604083203,21.07438016528926,37.567759996043,23.72881355932203,16.09195402298851,39.18313452086939,18.285714285714285,14.28571428571429,36.00000000000001,18.125000000000004,Cloud Computing
5,4,94,6,6,1,7,10,9,10,56.98354065768791,UI/UX Design,47.18537211712584,54.958677685950406,65.3984532438289,77.96610169491525,50.57471264367817,69.58705513411407,47.99999999999999,56.04395604395606,76.57142857142857,56.875,UI/UX Design
2,8,77,5,7,1,5,3,10,2,46.109772545155096,DevOps Engineering,32.97797147842607,33.88429752066115,50.38350474538057,47.45762711864406,30.459770114942536,50.06326947847556,32.57142857142857,25.274725274725284,53.7142857142857,58.75,Software Testing
8,7,50,1,3,6,7,4,1,10,53.317871906061164,Backend Development,54.989370166361375,28.92561983471074,35.42004522393784,20.903954802259886,29.31034482758621,29.4339319343292,28.571428571428566,39.56043956043957,6.571428571428563,25.625000000000004,Data Science
6,8,98,8,3,9,9,1,4,7,77.52411358895255,Data Science,82.46157281536102,92.97520661157024,85.23529156537897,19.209039548022595,36.20689655172414,88.19833636250868,37.142857142857146,38.46153846153847,91.7142857142857,68.75000000000001,Backend Development
2,9,94,5,10,10,2,4,10,9,34.06207235422841,Mobile Development,33.72107190854609,69.00826446280992,45.3220580844204,67.79661016949153,77.01149425287356,51.76488320128437,80.0,62.637362637362635,65.99999999999999,48.125000000000014,Mobile Development
5,5,53,7,9,1,4,5,5,5,39.882860206505164,DevOps Engineering,27.598760566999037,13.636363636363638,28.228213966355458,44.06779661016949,33.33333333333334,23.419515969167236,35.42857142857142,37.36263736263737,17.71428571428571,40.0,UI/UX Design
1,8,56,0,8,5,4,3,2,8,18.126095484650584,DevOps Engineering,15.823626046836539,20.661157024793386,14.544714141289678,26.553672316384187,35.05747126436782,12.176423910461434,37.71428571428571,39.560439560439576,9.42857142857143,14.375000000000002,Game Development
6,5,98,4,5,9,2,10,2,5,59.03534806485658,Game Development,53.468374056749155,67.7685950413223,66.05996733638779,61.58192090395481,68.39080459770116,71.3460219393986,65.14285714285715,74.72527472527473,73.71428571428571,24.375,Game Development
9,8,58,0,6,9,3,2,1,7,55.490507232656306,DevOps Engineering,54.34375936310863,32.64462809917356,38.673274989092036,19.209039548022595,41.37931034482759,34.86484566723706,43.42857142857144,42.85714285714286,11.142857142857139,13.125,Data Science
1,4,85,9,11,1,8,6,8,7,33.1301000640256,Cloud Computing,28.572009186557352,54.132231404958674,47.880566078003525,62.71186440677966,46.55172413793104,50.36317006572081,49.14285714285714,50.54945054945056,72.57142857142857,69.375,DevOps Engineering
3,4,68,10,10,8,9,8,2,9,40.715929800672995,Data Science,50.357944548743575,67.35537190082644,41.95970427715283,58.75706214689266,68.9655172413793,40.182092104134284,69.71428571428571,81.31868131868133,49.99999999999998,63.75000000000001,Game Development
7,4,50,7,1,1,6,7,3,3,66.52337729238498,DevOps Engineering,53.58908665630959,16.942148760330582,46.870048611562886,33.898305084745765,18.39080459770116,39.06246529820461,14.857142857142854,30.769230769230777,19.142857142857142,45.0,Data Science
4,4,59,7,10,8,10,1,2,1,47.81233273119494,Data Science,58.496496536117206,59.09090909090908,47.05178159194651,23.163841807909606,44.82758620689655,40.95811684795098,49.71428571428571,51.64835164835166,41.71428571428572,70.62500000000001,Software Testing
9,4,85,0,1,1,2,4,4,2,72.75475585937441,DevOps Engineering,51.16856330943836,25.619834710743795,68.39921752161912,22.033898305084744,9.770114942528737,69.3110984780256,8.000000000000002,13.186813186813193,51.99999999999999,14.375000000000002,Cloud Computing
3,4,58,8,4,5,2,3,1,6,36.24640896974577,DevOps Engineering,26.842016394319916,26.446280991735545,25.94113771682124,16.38418079096045,24.137931034482758,23.19677750417624,24.57142857142857,28.57142857142858,21.42857142857141,24.999999999999996,Game Development
5,5,94,1,2,8,7,6,3,10,48.90310492189326,Cloud Computing,53.625289143293465,71.900826446281,60.31641818986997,38.418079096045204,45.40229885057472,64.92974347083184,42.857142857142854,52.74725274725277,69.42857142857142,34.37500000000001,Backend Development
3,7,95,8,11,6,8,9,5,10,41.62073190718884,Cloud Computing,45.34162061989959,77.68595041322314,57.623101828420644,73.4463276836158,71.83908045977012,62.60560916840855,72.57142857142857,80.21978021978023,82.85714285714286,60.00000000000001,DevOps Engineering
7,8,91,0,7,9,8,9,10,9,48.942470488517685,Data Science,58.598045882783026,74.3801652892562,60.34117640787275,87.00564971751413,83.33333333333334,63.79969480606208,81.71428571428572,81.31868131868133,66.57142857142856,60.62500000000001,UI/UX Design
5,4,81,9,2,1,6,7,1,3,64.45333339164198,DevOps Engineering,50.93335674603709,45.04132231404957,65.0649895544918,28.8135593220339,17.24137931034483,64.6705091594478,14.285714285714285,32.967032967032964,66.28571428571429,43.75,DevOps Engineering
9,5,81,8,10,9,10,9,4,10,69.26234864272585,Data Science,79.65623876781517,81.8181818181818,68.71845826586531,71.75141242937853,79.88505747126436,68.45092140791115,80.0,90.10989010989012,66.85714285714285,69.37500000000001,Game Development
7,5,55,3,2,1,8,8,6,2,67.95320171030241,Cybersecurity,58.86652700234356,21.900826446280977,54.05861742786316,50.847457627118644,29.31034482758621,46.65890588490053,25.71428571428571,39.56043956043957,25.428571428571423,54.37500000000001,Data Science
2,5,97,8,5,10,1,5,4,1,49.578982490990064,DevOps Engineering,43.74839876380049,72.31404958677685,60.74149842200634,44.067796610169495,58.62068965517242,65.75157492276084,58.285714285714285,54.94505494505495,79.42857142857143,42.50000000000001,DevOps Engineering
4,7,87,6,4,10,9,9,7,2,68.78077594775765,Data Science,76.41927660054213,84.71074380165288,75.96275216840104,72.88135593220339,75.28735632183907,75.81024550303034,72.0,79.12087912087912,77.42857142857142,80.62500000000001,Backend Development
9,8,66,10,8,3,1,7,7,3,69.4497431479301,DevOps Engineering,50.15023326469118,26.033057851239672,52.48411518737742,61.58192090395481,49.42528735632185,49.538756857596596,49.71428571428571,47.25274725274726,36.28571428571429,45.625,UI/UX Design
2,7,59,5,4,1,3,5,6,7,33.114671751906336,DevOps Engineering,18.67589228747986,13.223140495867764,25.229353303085748,38.983050847457626,23.563218390804597,22.83266383395178,22.857142857142858,25.274725274725274,19.714285714285708,31.25,UI/UX Design
9,6,99,4,6,3,9,8,9,2,90.85614446642512,UI/UX Design,83.50098572771498,69.0082644628099,97.39380155121077,70.05649717514125,51.724137931034484,98.90844061465425,50.28571428571428,56.04395604395606,91.7142857142857,73.125,Cloud Computing
5,5,76,10,5,2,5,7,2,5,62.77853215205164,DevOps Engineering,49.36636528950142,42.56198347107438,58.35127808305136,38.418079096045204,29.885057471264364,57.50924043345916,28.57142857142857,41.758241758241766,56.85714285714285,43.75000000000001,Cybersecurity
2,6,99,8,11,2,9,9,10,2,58.4318504686913,UI/UX Design,52.73734433267771,70.66115702479338,77.00116381678698,85.87570621468925,64.36781609195403,80.22008672547051,65.14285714285715,68.13186813186815,97.4285714285714,85.00000000000001,DevOps Engineering
4,9,84,1,2,9,9,10,8,7,55.79653915234014,Data Science,64.46664063168211,72.72727272727273,62.765118963735944,76.8361581920904,71.83908045977013,63.57149230682428,66.85714285714286,75.82417582417584,61.7142857142857,63.750000000000014,UI/UX Design
7,4,70,10,11,8,6,1,8,10,44.50575113466761,Mobile Development,49.153508278069374,60.33057851239669,41.19858561928781,45.19774011299435,57.4712643678161,40.637320538713325,62.857142857142854,49.45054945054945,46.0,68.125,Software Testing
8,4,74,1,8,1,1,9,10,8,35.08019822009198,UI/UX Design,19.16920645802959,14.876033057851243,32.754841647856594,79.66101694915254,53.448275862068975,34.48426410379942,52.57142857142857,49.45054945054945,30.571428571428577,23.75,UI/UX Design
3,7,77,10,2,4,10,7,4,8,63.24985597342982,DevOps Engineering,62.73951519641102,64.46280991735537,63.679154700270324,42.37288135593221,34.48275862068966,62.39184782330247,31.428571428571427,47.25274725274726,65.71428571428571,70.62500000000001,Software Testing
1,8,96,8,9,1,7,1,6,8,41.30418819976108,Cloud Computing,32.86957096649694,59.09090909090911,58.052948553308866,27.118644067796605,21.26436781609195,63.14362432262885,25.71428571428571,23.076923076923084,84.0,55.00000000000001,DevOps Engineering
4,6,64,2,9,1,6,1,6,10,29.876195874864457,DevOps Engineering,23.431843253906738,22.314049586776854,28.224022562807843,27.118644067796605,21.26436781609195,27.017980331333973,25.71428571428571,21.978021978021978,26.000000000000007,33.125,Software Testing
2,8,53,7,3,4,9,5,5,9,49.47037139009985,DevOps Engineering,49.38600799912145,38.01652892561984,38.03168011955967,37.28813559322035,31.60919540229885,32.25958005193074,30.28571428571429,39.56043956043957,24.285714285714267,60.625000000000014,Software Testing
8,7,78,10,4,2,7,8,1,1,90.35609026678672,DevOps Engineering,76.60809967163604,50.0,81.98496243194133,38.418079096045204,29.31034482758621,78.87959093186554,26.857142857142858,46.15384615384617,67.14285714285714,54.37500000000001,Cybersecurity
4,4,58,8,8,3,4,9,3,1,52.82040819053058,DevOps Engineering,40.81550079123096,25.61983471074381,42.02541395630854,58.19209039548022,49.42528735632183,36.92818915880725,48.57142857142857,59.34065934065935,29.714285714285708,43.75000000000001,Game Development
2,8,76,7,9,9,7,6,7,10,35.762430531544446,Mobile Development,43.631439982047624,67.7685950413223,40.73108838461915,64.97175141242938,72.41379310344827,41.793908087345514,73.71428571428572,71.42857142857143,52.28571428571428,63.12500000000001,Mobile Development
6,8,75,3,3,2,2,10,8,2,54.76372794752283,UI/UX Design,37.38987690080276,24.38016528925619,50.79479745127221,70.62146892655369,45.97701149425288,50.296096799724964,41.71428571428572,47.25274725274725,41.999999999999986,35.62500000000001,UI/UX Design
6,4,68,0,5,4,6,8,2,6,43.32960285780555,DevOps Engineering,40.432514624082536,33.05785123966942,41.71673135711041,45.76271186440679,41.37931034482759,39.9594252782741,39.42857142857143,53.846153846153854,32.28571428571429,24.374999999999993,Game Development
4,6,77,3,11,1,6,6,3,1,42.44384245259385,DevOps Engineering,33.23865355516561,34.29752066115701,49.96468078779489,45.76271186440678,37.931034482758626,49.39126366143738,40.57142857142857,48.35164835164836,53.71428571428572,37.5,DevOps Engineering
6,4,66,8,8,2,2,6,4,5,54.444809117976575,DevOps Engineering,37.14101754248806,23.1404958677686,43.0470497597337,45.19774011299436,36.781609195402304,41.03447211410754,37.71428571428571,40.65934065934067,33.71428571428571,31.875000000000004,UI/UX Design
2,8,92,1,3,5,4,4,5,5,43.70746745691337,DevOps Engineering,36.30554635865045,51.652892561983464,55.16192921818451,33.333333333333336,32.18390804597702,59.341479802255535,31.428571428571427,32.96703296703298,64.85714285714285,30.000000000000004,DevOps Engineering
